accession,genus,species,date,elevation,collector,latitude,longitude,,
V123642,Phalaris,arundinacea,1963 Jul 25,,V. Gerardin,48.2,-65.3,Verbatim from Collector/Sheet,anthers
V172143,Alopecurus,pratensis,1980 Jun 11,,C.E. Garton,48.3,-89.2,Verbatim from Collector/Sheet,anthers
V19568,Glyceria,striata,1939 Jul 19,,Thomas M.C. Taylor,48.3,-86.8,Verbatim from Collector/Sheet,anthers
V173969,Elymus,canadensis,1980 Aug 08,,C.E. Garton,48.3,-89.7,Verbatim from Collector/Sheet,anthers
V174661,Cinna,latifolia,1981 Jul 14,,C.E. Garton,48.3,-90.7,Verbatim from Collector/Sheet,anthers
V136561,Phalaris,arundinacea,1971 Jul 19,,C.E. Garton,48.3,-84.9,Verbatim from Collector/Sheet,anthers
V213974,Agrostis,pallens,1986 Jul 20,,Adolf Ceska,48.31,-123.58,Verbatim from Collector/Sheet,anthers
V82812,Agrostis,stolonifera,1941 Jul 23,,Thomas M.C. Taylor,48.38,-123.7,BC_GeographicalName Table,anthers
V17552,Agrostis,stolonifera,1928 Jul 15,,D.E. Newton,48.38,-123.73,BC_GeographicalName Table,anthers
V135023,Aira,praecox,1961 May 03,0 m,Katherine I. Beamish,48.38,-123.73,BC_GeographicalName Table,anthers
V101273,Anthoxanthum,odoratum,1963 Apr 21,33 m,M. Benson,48.38,-123.54,BC_GeographicalName Table,no anthers
V17868,Alopecurus,geniculatus,1928 Jul 08,,D.E. Newton,48.38,-123.73,BC_GeographicalName Table,no anthers
V79363,Festuca,rubra,1959 Jun 18,,L. Holm,48.38,-123.73,BC_GeographicalName Table,anthers
V82811,Deschampsia,caespitosa,1941 Jul 23,,Thomas M.C. Taylor,48.38,-123.7,BC_GeographicalName Table,no anthers
V228795,Panicum,miliaceum,2000 Sep 21,,Richard Hebda,48.38,-123.53,Verbatim from Collector/Sheet,no anthers
V17699,Agrostis,stolonifera,1899 Jul 12,,J.R. Anderson,48.4,-123.4,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17793,Aira,caryophyllea,1894 Jul 14,,J.R. Anderson,48.4,-123.3,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V206786,Aira,praecox,1966 May 09,,Katherine I. Beamish,48.4,-123.8,Verbatim from Collector/Sheet,anthers
V40378,Bromus,hordeaceus,1950 May 21,60 m,Vladimir J. Krajina,48.4,-123.3,Verbatim from Collector/Sheet,anthers
V173767,Elymus,trachycaulus,1980 Aug 19,,C.E. Garton,48.4,-89.1,Verbatim from Collector/Sheet,anthers
V142502,Avena,sativa,1972 Aug 15,,C.E. Garton,48.4,-89.2,Verbatim from Collector/Sheet,anthers
V173824,Bromus,inermis,1980 Aug 25,,C.E. Garton,48.4,-89.6,Verbatim from Collector/Sheet,no anthers
V172163,Bromus,inermis,1980 Jul 02,,C.E. Garton,48.4,-89.6,Verbatim from Collector/Sheet,anthers
V174354,Calamagrostis,stricta,1981 Aug 26,,C.E. Garton,48.4,-90.7,Verbatim from Collector/Sheet,anthers
V174348,Alopecurus,aequalis,1981 Jun 26,,C.E. Garton,48.4,-90.6,Verbatim from Collector/Sheet,anthers
V214615,Bromus,hordeaceus,1996 Jun 27,380 m,Jenifer L. Penny,48.4,-123.6,Verbatim from Collector/Sheet,anthers
V113327,Aira,praecox,1946 May 20,,Vernon C. Brink,48.4,-123.8,Verbatim from Collector/Sheet,anthers
V121066,Aira,caryophyllea,1948 May 19,,Vernon C. Brink,48.4,-123.8,Verbatim from Collector/Sheet,anthers
V40503,Aira,praecox,1950 May 20,10 m,Vladimir J. Krajina,48.4,-123.4,Verbatim from Collector/Sheet,anthers
